ID,Age,Name,Email,Product,Category,Quantity,Unit Price,Total,Payment,Ordered At
1,25,Frances Newton,heatherscott@example.net,Smartphone,Photography,4,1498,5992,PayPal,2025-03-30
2,25,Chelsea Romero,christopherbrooks@example.org,Webcam,Photography,3,592,1776,Cash,2025-10-04
3,55,,anne99@example.com,Headphones,Accessories,,252,0,PayPal,2025-02-18
4,57,Austin Ray,hamiltonbenjamin@example.net,Keyboard,Electronics,1,485,485,Cash
5,58,Christopher Hall,rachel09@example.net,Speaker,Electronics,4,896,3584,PayPal,2025-10-25
6,66,Daniel Dixon,taylorandrea@example.com,Monitor,Accessories,2,1223,2446,PayPal,2025-01-31
7,67,Kelly Acosta,luis76@example.org,Mouse,Photography,5,1408,7040,PayPal,2025-10-13
8,42,Destiny Bell,jerryortiz@example.org,Smartphone,Electronics,5,1085,5425,PayPal
9,25,Michael Taylor,theresawagner@example.org,Keyboard,Accessories,2,973,1946,Credit Card,2025-05-06
10,57,Gary Ramos,ellisonjill@example.net,Tablet,Photography,4,1494,5976,Cash,2025-04-07
11,69,Laurie Graham,phillipskim@example.com,Camera,Accessories,3,131,393,PayPal,2024-12-23
12,61,Christy White,josephgarcia@example.org,Laptop,Electronics,2,395,790,Credit Card,2025-08-08
13,57,Bianca Russell,marissawilliams@example.com,Keyboard,Electronics,1,593,593,Credit Card,2024-04-14
14,59,Alex James,shawmathew@example.com,Smartphone,Photography,2,1414,2828,Cash
15,70,Michael Burgess,enguyen@example.org,Headphones,Electronics,2,716,1432,Cash,2025-03-07
16,45,Michele Lara,ethanwest@example.net,Camera,Photography,1,1338,1338,Credit Card,2025-05-07
17,63,Cody Hurst,mooretony@example.org,Camera,Electronics,4,1205,4820,Credit Card,2024-09-13
18,24,Tanya Gibbs,paige61@example.org,Headphones,Photography,5,912,4560,PayPal,2025-11-11
19,38,Kimberly Silva,john70@example.net,Headphones,Electronics,5,606,3030,PayPal,2024-12-10
20,46,Clifford Bean,daniel77@example.com,Tablet,Photography,2,1192,2384,PayPal,2024-03-06
21,40,Joseph Norton,ahancock@example.org,Webcam,Electronics,1,890,890,Credit Card,2024-08-14
22,46,Margaret Martin,davidwilson@example.org,Mouse,Photography,4,859,3436,Credit Card,2026-01-07
23,53,David Nichols,patricia72@example.net,Headphones,Accessories,3,1190,3570,Credit Card,2025-03-08
24,55,Jessica Vasquez,mccoyheidi@example.net,Laptop,Photography,2,262,524,Credit Card,2025-04-07
25,56,,brittany14@example.net,Keyboard,Electronics,4,695,2780,PayPal,2024-04-18
26,54,Sarah Mcclain,smithcourtney@example.net,Printer,Accessories,4,779,3116,PayPal,2024-08-26
27,57,Russell Scott,robert41@example.com,Smartphone,Photography,1,345,345,PayPal,2026-01-02
28,19,Michael Reed,qboone@example.net,Speaker,Photography,1,212,212,PayPal,2025-05-22
29,49,Dominique Butler,spencertaylor@example.org,Camera,Accessories,3,202,606,Credit Card,2024-03-20
30,34,Chloe Bennett,kbrowning@example.org,Printer,Electronics,1,1195,1195,Cash
31,18,William Rhodes,samanthaaustin@example.com,Camera,Photography,5,530,2650,Cash,2024-07-13
32,19,Peter Thompson,dwillis@example.com,Webcam,Accessories,4,893,3572,PayPal,2025-10-23
33,20,Casey Perez DDS,mfox@example.net,Smartphone,Photography,2,973,1946,PayPal
34,35,Carlos Ramos,bbriggs@example.net,Printer,Electronics,3,1221,3663,PayPal
35,49,Richard Cummings,sandra47@example.net,Smartphone,Accessories,1,784,784,Cash,2024-04-07
36,42,Christina Navarro,logan65@example.org,Webcam,Electronics,2,168,336,Credit Card,2025-04-27
37,46,Roy Sanchez,tinaandrews@example.net,Headphones,Accessories,3,1201,3603,Credit Card,2025-03-24
38,21,Andrea Perry,smithvictor@example.com,Keyboard,Accessories,3,1103,3309,Cash,2024-09-20
39,33,Daniel Jacobs,richard76@example.org,Camera,Photography,2,297,594,Credit Card
40,62,Scott Williams,theresa23@example.org,Monitor,Photography,5,1125,5625,PayPal,2024-12-13
41,21,Madeline Williams,christyblanchard@example.org,Webcam,Accessories,2,1245,2490,PayPal,2025-03-14
42,41,Melissa Nolan,brian50@example.com,Speaker,Photography,2,248,496,Cash
43,68,Bradley Preston,mcase@example.net,Camera,Electronics,5,479,2395,Credit Card,2025-06-28
44,57,Leslie Gardner,kennethweaver@example.net,Camera,Electronics,2,988,1976,PayPal,2025-04-10
45,69,James Moore,hartjulie@example.net,Laptop,Electronics,3,77,231,Credit Card,2024-09-10
46,18,Michelle Olson,beardashley@example.com,Speaker,Photography,5,1425,7125,PayPal,2025-12-26
47,30,Manuel Short,deborahmiller@example.org,Smartphone,Accessories,3,711,2133,Credit Card,2025-07-16
48,44,Kelly Edwards,juan17@example.org,Tablet,Photography,1,404,404,Cash,2025-06-07
49,54,Carolyn Johnson,justinortiz@example.org,Speaker,Photography,2,50,100,PayPal,2025-09-30
50,20,Gregory Morales Jr.,zgardner@example.net,Printer,Accessories,5,470,2350,Cash,2025-04-18
51,50,Randy Howe,yball@example.net,Monitor,Electronics,2,1214,2428,Cash,2024-05-27
52,18,Sierra Gordon,jacob46@example.com,Webcam,Electronics,5,655,3275,PayPal,2025-04-12
53,37,Adam Roberts,browndanielle@example.net,Printer,Accessories,2,1213,2426,Credit Card,2024-06-09
54,37,Michele George,xbishop@example.net,Monitor,Accessories,2,1491,2982,Credit Card,2024-11-21
