Order ID,Customer Name,Product,Category,Quantity,Unit Price,Total Amount,Order Date,City,Payment Method,Status,Salesperson,Notes
ORD-1409-45,Johnson, Sarah,Mobile Phone,Gadgets,5,872.75,4363.75,1/31/2022,MIA,cash,Completed,SP-833
ORD-5557-10,Online Customer,Smartphone,ELECTRONICS,2,1538.81,3077.62,4/15/2022,Chicago, IL,Google Pay,,SP-144
ORD-5803-90,Wilson, Robert,Tablet Computer,Computers,1,1557.48,1557.48,23-Mar,2022,NYC,Bank Transfer,Shipped
ORD-2169-87,R Wilson,Smartphone,Computers,4,1854.51,7418.04,12/6/2023,CHI,Credit Card,Refunded,SP-924,URGENT
ORD-6155-37,R Wilson,Wireless Headphones,ELECTRONICS,4,322.28,1289.12,7/29/2023,Seattle,Bank Transfer,,SP-324,bulk order
ORD-1771-24,JOHN SMITH,Mechanical Keyboard,Gadgets,4,800.3,3201.2,9/3/2023,Miami, FL,Credit Card,Pending,SP-649
ORD-8123-30,E Davis,Laptop,Mobile,2,257.5,515,3/10/2023,MIA,cash,Refunded,SP-880,corporate client
ORD-6310-72,John Smith,Lpt,Accessories,3,519.7,1559.1,8/4/2023,Miami,Debit Card,CANCEL,SP-231,URGENT
ORD-7932-37,Robert Wilson,Wireless Mouse,Computers,4,1317.26,5269.04,3/25/2023,L.A.,PayPal,Pending,SP-702,
ORD-1964-39,Smith, John,laptop,Accessories,2,996.56,1993.12,7/7/2023,Seattle,cash,pending,SP-584
ORD-6804-64,Emily Davis,Earphones,Electronics,1,1470.02,1470.02,4/22/2022,Miami, FL,CC,Cancelled,SP-385
ORD-2604-16,R Wilson,Computer Monitor,Electronics,2,997,1994,7-Aug,2022,NY,Cash,COMPLETE,
,,,,,,,,,,,,
ORD-4853-61,John S.,Display,Computers,1,867.49,867.49,8/21/2023,Los Angeles, CA,PayPal,Delivered,SP-505
ORD-2188-11,E Davis,Keyboard,Tech,2,308.29,616.58,12/24/2022,Chicago, IL,Apple Pay,Cancelled,SP-656
ORD-5905-94,John S.,Laptop Computer,Mobile,1,353.12,353.12,10/16/2022,CHI,PayPal,Shipped,SP-357,
ORD-5533-15,John Smith,iPad,Gadgets,3,911.58,2734.74,12/24/2023,NYC,Debit Card,Cancelled,SP-954,bulk order
ORD-6050-56,Guest,laptop,Accessories,2,739.67,1479.34,28-Jul,2023,SEA,Cash,Refunded,SP-919
ORD-5564-18;Online Customer;Cell Phone;Accessories;4;1695.14;6780.56;2022-12-06;Los Angeles, CA;Cash;;SP-371;discount applied,,,,,,,,,,,
ORD-6139-65,Wilson, Robert,Monitor,Tech,5,136.55,682.75,3/23/2023,Miami, FL,PayPal,Delivered
ORD-5920-74,Mike Brown,Wireless Keyboard,ELECTRONICS,3,424.09,1272.27,11/12/2023,Los Angeles,cash,,SP-661,URGENT
ORD-6279-69,E Davis,Earphones,Computers,2,603.38,1206.76,11/11/2023,New York City,PayPal,Shipped,SP-303,bulk order
ORD-2193-68,Emily Davis,Mechanical Keyboard,Computers,4,525.77,2103.08,2023-02-30,NYC,Bank Transfer,Refunded,SP-812,URGENT
ORD-2988-68,JOHN SMITH,Earphones,Accessories,4,1452.58,5810.32,6/1/2023,Miami, FL,CC,Cancelled,SP-586
ORD-9540-72,R Wilson,Mobile Phone,Mobile,3,704.9,2114.7,7/8/2023,L.A.,Bank Transfer,Cancelled,SP-165,bulk order
ORD-4388-63,M Brown,Wireless Mouse,Electronics,5,61.5,307.5,27-12-2022,HOU,CASH,CANCEL,SP-325,bulk order
ORD-7624-31,E Davis,Laptop Computer,Electronics,5,102.85,514.25,10/21/2023,Houston, TX,Cash,Completed,SP-435
ORD-7906-42,Smith, John,Wireless Headphones,Electronics,1,732.42,732.42,10/28/2023,Seattle, WA,Credit Card,Completed
ORD-2874-82,S Johnson,Earphones,Mobile,2,1929.28,3858.56,28-Apr,2022,Chicago,Debit Card,,
ORD-4249-19,Bob Wilson,Mouse,Computers,3,1220.8,3662.4,4-May,2022,NY,Google Pay,CANCEL,SP-479
ORD-9031-23,Emily Davis,Tablet Computer,electronics,4,1067.41,4269.64,29-10-2023,Miami, FL,CC,pending,SP-848
ORD-2419-45,E Davis,Mobile Phone,electronics,4,1013.9,4055.6,11/29/2022,Chicago, IL,Apple Pay,Delivered,SP-710
ORD-4130-20,Johnson, Sarah,Computer Mouse,ELECTRONICS,2,1309.51,2619.02,5/18/2023,New York City,Apple Pay,Refunded,SP-349
ORD-6632-64,Walk-in,Computer Monitor,Accessories,4,540.24,2160.96,4/5/2022,NYC,CASH,Cancelled,SP-856,corporate client
ORD-2647-34,Mike Brown,Mobile Phone,Accessories,1,296.84,296.84,2/16/2022,N/A,Cash,pending,,bulk order
ORD-4020-16,Sarah J.,Wireless Headphones,Tech,4,1175.19,4700.76,12/4/2023,Seattle,Apple Pay,Pending,SP-221,corporate client
ORD-4697-76,M Brown,Earphones,electronics,5,645.49,3227.45,9/28/2023,Online,Debit Card,Refunded,SP-370,URGENT
ORD-3564-10,Emily Davis,Earphones,electronics,2,601.3,1202.6,4/10/2023,Los Angeles, CA,cash,Refunded,SP-657
ORD-2169-17,Sarah Johnson,Tablet,Mobile,4,1414.48,5657.92,10/6/2022,Houston, TX,Debit Card,,
ORD-1339-96,Sarah J.,Display,Electronics,2,1320.44,2640.88,10/12/2022,HOU,CC,Pending,SP-518,URGENT
ORD-9117-46,Unknown,Headphones,Electronics,3,276.05,828.15,18-Feb,2023,New York,CASH,pending,SP-292
ORD-1845-36,Sarah J.,Computer Monitor,Gadgets,4,995.19,3980.76,30/01/22,L.A.,Cash,Shipped,SP-665,
,,,,,,,,,,,,
ORD-2924-92,JOHN SMITH,Wireless Headphones,Mobile,3,990.87,2972.61,4/29/2023,Manhattan,Bank Transfer,Refunded,SP-620,
ORD-7798-53,Guest,Monitor,Mobile,3,1683.08,5049.24,17/08/23,Manhattan,CC,CANCEL,SP-440,bulk order
ORD-4090-99,Johnson, Sarah,Display,ELECTRONICS,4,1502.18,6008.72,24-Dec,2023,,Cash,pending
ORD-8213-22,Emily D.,Earphones,Electronics,4,1941.42,7765.68,3/18/2022,Los Angeles, CA,Google Pay,,SP-765
ORD-6188-90,Customer,Wireless Mouse,electronics,1,507.8,507.8,2/12/2023,Online,Debit Card,COMPLETE,SP-878,bulk order
ORD-5906-13,J Smith,iPad,Electronics,3,526.18,1578.54,2/26/2023,Los Angeles,Cash,Cancelled,,URGENT
ORD-3344-39,E Davis,Mechanical Keyboard,Mobile,1,957.24,957.24,22/10/22,New York City,CC,Delivered,SP-406,discount applied
ORD-5949-35,M Brown,Wireless Headphones,Tech,5,626.95,3134.75,18-12-2023,,Bank Transfer,Shipped,,
ORD-9138-46,Online Customer,Mobile Phone,Accessories,2,1371.64,2743.28,7/11/2023,Seattle, WA,Debit Card,Completed,SP-551
ORD-5835-51,Walk-in,Headphone,Gadgets,5,763.42,3817.1,29-05-2023,Los Angeles, CA,CC,Shipped,SP-446
ORD-4696-96,Walk-in,Wireless Keyboard,ELECTRONICS,5,1591.83,7959.15,15-01-2022,Houston, TX,Google Pay,Shipped,SP-942
ORD-6374-88,Johnson, Sarah,Mechanical Keyboard,Tech,4,639.27,2557.08,2/23/2023,NY,Apple Pay,pending,
ORD-9850-63,Bob Wilson,Computer Mouse,Gadgets,1,1250.52,1250.52,10/14/2022,LA,CC,pending,SP-975,discount applied
ORD-6876-17,M Brown,Cell Phone,Computers,4,463.61,1854.44,10/17/2023,NY,Google Pay,Refunded,SP-905,corporate client
ORD-4538-39,Michael Brown,Wireless Mouse,Gadgets,5,8.59,42.95,5/29/2022,Los Angeles,Debit Card,Completed,,corporate client
ORD-3854-43,J Smith,Laptop Computer,ELECTRONICS,1,1567.13,1567.13,6/10/2023,MIA,PayPal,,,corporate client
ORD-1510-17,Davis, Emily,Headphones,ELECTRONICS,4,914.95,3659.8,24-03-2022,New York City,Cash,Shipped,SP-699
ORD-8433-74,Wilson, Robert,Headphone,Tech,1,1319.29,1319.29,19/07/23,HOU,CC,Refunded,SP-947
ORD-6120-95,Sarah J.,Tablet Computer,Gadgets,4,1671.96,6687.84,4/6/2022,Online,Google Pay,Cancelled,SP-700,
ORD-7929-16,Mike Brown,Keyboard,Mobile,5,351.72,1758.6,5/9/2023,Chicago, IL,CASH,Delivered,
ORD-1430-87,Unknown,Mouse,Mobile,3,652.52,1957.56,2023-02-30,Manhattan,cash,COMPLETE,,
ORD-4524-58,Emily Davis,Earphones,Accessories,3,1564.83,4694.49,8/5/2023,NY,Cash,Cancelled,SP-150,bulk order
ORD-1510-17,Davis, Emily,Headphones,ELECTRONICS,4,914.95,3659.8,24-03-2022,New York City,Cash,Shipped,SP-699
ORD-3248-42,Mike Brown, Jr.,iPad,Tech,759,301.91,229149.69,30/06/23,Miami, FL,Google Pay,Pending
ORD-8033-83,M Brown,Mouse,ELECTRONICS,4,3.25,13,9/25/2023,Chicago, IL,Debit Card,COMPLETE,SP-349
ORD-6083-53,Johnson, Sarah,iPad,Gadgets,1,428.11,428.11,24-12-2022,Seattle, WA,Cash,Refunded
ORD-2234-32,Online Customer,Mechanical Keyboard,electronics,5,925.37,4626.85,2/8/2023,SEA,Google Pay,Delivered,SP-169,discount applied
ORD-6766-74,Smith, John,Tablet,electronics,1,609.8,609.8,23-Oct,2023,New York City,cash,
ORD-4084-51,Wilson, Robert,Wireless Headphones,Gadgets,4,1803.3,7213.2,18/12/22,Seattle, WA,Cash,Completed
ORD-7108-46,M Brown,Headphone,Accessories,1,1312.25,1312.25,9/3/2022,,Bank Transfer,Shipped,SP-972,URGENT
ORD-3317-54,Mike Brown, Jr.,Mechanical Keyboard,ELECTRONICS,1,784.52,784.52,3-Dec,2022,N/A,CASH,Pending
ORD-4509-53,Online Customer,Wireless Headphones,Computers,2,626.79,1253.58,4/14/2022,Online,CASH,Completed,SP-997,bulk order
ORD-3962-98,Online Customer,Keyboard,Gadgets,1,1368.91,1368.91,9/1/2022,Online,CC,Refunded,SP-416,URGENT
ORD-8218-69,Online Customer,Tablet,ELECTRONICS,4,1642.94,6571.76,9/12/2023,NY,CC,Delivered,SP-205,
ORD-3626-44,E Davis,Monitor,Gadgets,1,482.97,482.97,7/4/2023,HOU,Credit Card,COMPLETE,SP-341,URGENT
ORD-6493-28,JOHN SMITH,laptop,Mobile,4,320.65,1282.6,12/24/2023,New York,Debit Card,Completed,SP-955,corporate client
ORD-2821-46,Johnson, Sarah,Tablet,Tech,4,1264.48,5057.92,3/6/2022,Miami,cash,CANCEL,
ORD-1025-88,Brown, Mike,Mobile Phone,ELECTRONICS,1,753.18,753.18,6/23/2023,MIA,CASH,Completed,SP-581
ORD-1266-55,Guest,LAPTOP,Accessories,1,1483.61,1483.61,12/7/2022,Miami, FL,Google Pay,Cancelled,SP-801
,,,,,,,,,,,,
ORD-2033-68,J Smith,Tablet,Computers,2,665.41,1330.82,11/14/2022,Miami, FL,CC,Shipped,
ORD-6438-44,John S.,Tablet Computer,ELECTRONICS,4,803.96,3215.84,7/11/2022,Chicago, IL,CASH,Shipped,SP-844
ORD-6262-23,Smith, John,iPad,Mobile,5,374.96,1874.8,31-03-2023,Online,Google Pay,,SP-381
ORD-7655-56,Emily D.,Computer Mouse,Gadgets,2,1372.27,2744.54,3/25/2023,L.A.,Google Pay,Delivered,SP-680,bulk order
ORD-7095-66,Online Customer,LAPTOP,Gadgets,4,593.45,2373.8,4/27/2022,Miami,CASH,COMPLETE,SP-220,bulk order
ORD-5678-98,Davis, Emily,smart phone,Tech,1,1802.42,1802.42,4/1/2023,CHI,Google Pay,Pending,SP-397
ORD-9335-38,John S.,smart phone,Gadgets,4,5.54,22.16,1/13/2023,Miami, FL,Cash,,SP-167
ORD-7708-83,Smith, John,Laptop Computer,Accessories,4,1058.85,4235.4,12-May,2022,Seattle, WA,cash
ORD-9488-29,Mike Brown,Smartphone,Gadgets,2,1884.76,3769.52,18-Oct,2022,LA,CASH,Shipped,
ORD-3526-31,Unknown,Keyboard,Accessories,5,1734.37,8671.85,3/25/2022,Seattle,Apple Pay,Refunded,SP-526,corporate client
ORD-5949-71,Johnson, Sarah,Wireless Keyboard,ELECTRONICS,1,358.26,358.26,3/2/2023,CHI,cash,Cancelled,SP-835
ORD-3142-57,Emily D.,Computer Monitor,Tech,4,926.71,3706.84,5/25/2022,Houston,cash,COMPLETE,SP-986,corporate client
ORD-4110-30,Davis, Emily,Monitor,electronics,3,225.6,676.8,2/7/2023,L.A.,PayPal,,SP-151
ORD-1133-23,Emily Davis,Laptop Computer,Mobile,4,831.13,3324.52,8/7/2023,Miami, FL,Apple Pay,Pending,SP-561
ORD-2946-26,John S.,Headphones,Accessories,3,762.93,2288.79,5/28/2022,Houston,CASH,Completed,,bulk order
ORD-3440-87,Emily D., Jr.,Laptop Computer,Accessories,3,1981.7,5945.1,11/3/2022,MIA,CASH,pending,SP-406
ORD-7824-84,Mike Brown,Computer Mouse,Electronics,3,1576.66,4729.98,8/16/2023,NY,cash,pending,SP-744,bulk order
ORD-4968-14,Bob Wilson,Mouse,Tech,4,345.29,1381.16,12/9/2023,SEA,CC,Completed,SP-631,bulk order
ORD-6140-32,E Davis,Computer Monitor,Accessories,3,424.92,1274.76,10/9/2022,L.A.,Apple Pay,Shipped,SP-806,discount applied
ORD-5480-46,John S.,Display,ELECTRONICS,4,1911.49,7645.96,30-05-2022,N/A,Debit Card,Delivered,SP-771,URGENT
ORD-5442-81,Customer,Cell Phone,Gadgets,5,148.99,744.95,6/28/2023,NY,Debit Card,COMPLETE,SP-583,
ORD-3587-62,R Wilson,Wireless Headphones,electronics,3,1309.5,3928.5,2/4/2022,Miami, FL,Credit Card,Cancelled,SP-957
ORD-4052-47,J Smith,Laptop,Mobile,1,703.33,703.33,11/4/2023,Miami,Cash,CANCEL,SP-297,bulk order
ORD-4050-11,Walk-in,iPad,Mobile,2,1719.49,3438.98,20-Feb,2023,CHI,Debit Card,COMPLETE,SP-289
ORD-8319-44,Michael Brown,Tablet,Electronics,3,171.14,513.42,5/2/2022,Houston,CASH,Shipped,SP-754,corporate client
ORD-3188-71,JOHN SMITH,Earphones,Accessories,5,1526.83,7634.15,12-Nov,2023,L.A.,cash,Pending,SP-640
ORD-9972-74,S Johnson,Display,Gadgets,5,1376.58,6882.9,8/21/2023,MIA,CC,Completed,SP-625,corporate client
ORD-6049-12,M Brown,Cell Phone,Electronics,5,876.21,4381.05,12/19/2023,NY,Debit Card,pending,,bulk order
ORD-7266-67,M Brown,Headphones,Tech,5,1727.56,8637.8,5/2/2022,Houston,CASH,Cancelled,SP-328,discount applied
ORD-9920-64,Robert Wilson,Headphones,Computers,3,417.54,1252.62,4/26/2022,HOU,cash,Completed,SP-168,corporate client
ORD-1797-41,Walk-in,laptop,ELECTRONICS,5,1734.27,8671.35,2/27/2022,Chicago,PayPal,,SP-712,URGENT
ORD-3347-94,Emily D.,Mobile Phone,ELECTRONICS,1,1203.75,1203.75,29/06/22,Miami, FL,CC,Completed,SP-758
ORD-7688-29,Mike Brown,Headphones,Gadgets,4,489.42,1957.68,12/26/2023,NY,CASH,COMPLETE,SP-670,discount applied
ORD-2295-67,Brown, Mike,LAPTOP,Computers,4,1225.7,4902.8,3/16/2022,Seattle,CASH,Refunded,SP-990
ORD-4113-25,Walk-in,Wireless Mouse,electronics,5,823.43,4117.15,9/3/2022,Chicago,Bank Transfer,pending,SP-467,bulk order
ORD-8692-50,S Johnson,Tablet Computer,Accessories,5,1495.44,7477.2,17-01-2022,Seattle,cash,COMPLETE,SP-300,URGENT
ORD-6530-42,Online Customer,Wireless Headphones,electronics,3,1454.61,4363.83,5/16/2023,Miami, FL,Credit Card,CANCEL,
ORD-7756-27,R Wilson,Mobile Phone,Tech,1,939.22,939.22,3/3/2022,SEA,CC,pending,,
ORD-5501-78,Mike Brown,Laptop,ELECTRONICS,2,237.81,475.62,6/2/2022,MIA,Apple Pay,Delivered,SP-506,bulk order
ORD-4700-48,Unknown,LAPTOP,Electronics,4,978.21,3912.84,10/15/2023,New York City,CC,COMPLETE,SP-439,
ORD-1697-39,S Johnson,Mouse,electronics,1,596.73,596.73,7/11/2023,Los Angeles,Google Pay,Completed,SP-701,bulk order
ORD-5903-30,Bob Wilson,Mobile Phone,ELECTRONICS,5,1523.44,7617.2,24-May,2022,Online,Debit Card,CANCEL,SP-454
ORD-7499-51,John Smith,Mechanical Keyboard,Mobile,4,743.83,2975.32,1/20/2023,Seattle,Bank Transfer,Pending,SP-402,
ORD-7225-91,JOHN SMITH,Computer Mouse,ELECTRONICS,1,1888.77,1888.77,1/4/2023,NYC,Cash,Pending,SP-559,
ORD-2524-86,Wilson, Robert,iPad,ELECTRONICS,418,215.16,89936.88,7/27/2023,Los Angeles,Bank Transfer,Cancelled,
ORD-5521-63,Mike Brown,Wireless Headphones,Tech,2,1016.81,2033.62,9/24/2023,Manhattan,Apple Pay,Completed,SP-440,discount applied
ORD-8055-93,Wilson, Robert,Laptop Computer,Mobile,2,396.39,792.78,12/2/2023,N/A,CC,,SP-433
ORD-4273-85,Robert Wilson,Smartphone,Electronics,4,458.81,1835.24,26-Oct,2022,HOU,CC,Cancelled,SP-347
ORD-2211-67,Wilson, Robert,Wireless Headphones,ELECTRONICS,4,1591.91,6367.64,4/1/2023,Miami, FL,cash,Pending
ORD-1725-82,R Wilson,Wireless Keyboard,ELECTRONICS,3,889.39,2668.17,1/11/2022,MIA,CASH,CANCEL,SP-689,bulk order
ORD-9199-29,Brown, Mike,Laptop,electronics,4,217.42,869.68,26-05-2022,Houston, TX,PayPal,CANCEL
ORD-5919-15,Guest,Mouse,Tech,3,1370.42,4111.26,18/06/22,Los Angeles,CASH,Cancelled,SP-536,bulk order
ORD-4053-91,Unknown,Headphone,ELECTRONICS,5,926.67,4633.35,2023-02-30,LA,PayPal,Shipped,SP-928,corporate client
ORD-6340-35,E Davis,Lpt,Mobile,4,1296.26,5185.04,9/4/2023,Seattle,Debit Card,Delivered,SP-568,discount applied
ORD-2388-96,JOHN SMITH,iPad,Tech,1,1402.2,1402.2,6/8/2023,Manhattan,cash,COMPLETE,SP-598,URGENT
ORD-9022-46,JOHN SMITH,Smartphone,Accessories,5,750.13,3750.65,1/10/2022,Houston,CASH,CANCEL,SP-518,bulk order
ORD-2354-82,John Smith,Wireless Mouse,Computers,3,612.91,1838.73,4/14/2023,Miami,CASH,CANCEL,,discount applied
ORD-1681-66,Robert Wilson,smart phone,ELECTRONICS,2,1998.66,3997.32,6/4/2023,New York City,CC,Pending,SP-342,discount applied
ORD-8015-31,Wilson, Robert,Laptop Computer,Computers,1,1087.95,1087.95,9/4/2023,N/A,Apple Pay,Shipped,SP-978
ORD-7743-17,Sarah J.,Mechanical Keyboard,Gadgets,2,1437.22,2874.44,11-Sep,2022,Houston,CC,Cancelled,SP-375
ORD-2525-61,Emily D.,Computer Mouse,Mobile,3,1001.69,3005.07,8/19/2023,Online,Debit Card,pending,SP-814,corporate client
ORD-8039-37,Davis, Emily,Cell Phone,Accessories,3,304.66,913.98,12-May,2023,,Credit Card,Completed
ORD-3588-66,E Davis,Laptop,ELECTRONICS,2,638.64,1277.28,10/8/2022,Los Angeles, CA,Debit Card,Delivered,SP-764
ORD-4836-64,R Wilson,LAPTOP,Tech,483,1207.68,583309.44,16/06/23,New York,Google Pay,Pending,SP-532,URGENT
ORD-2678-23,Michael Brown,Tablet Computer,Mobile,2,1370.42,2740.84,3/12/2022,SEA,Cash,pending,SP-318,bulk order
ORD-8248-37,Smith, John,Lpt,Gadgets,5,735.49,3677.45,16-03-2023,L.A.,Apple Pay,Pending,SP-715
ORD-5942-36,Emily D., Jr.,Keyboard,Computers,3,1578.41,4735.23,9/3/2022,L.A.,CC,,
ORD-3162-59,Bob Wilson,Headphone,Accessories,2,1911.18,3822.36,3/16/2022,New York,Apple Pay,Refunded,,corporate client
ORD-9209-63,Emily Davis,Mouse,ELECTRONICS,5,347.73,1738.65,27-03-2022,LA,Cash,CANCEL,SP-700,
ORD-8167-40,J Smith, Jr.,Mobile Phone,Tech,1,1237.22,1237.22,13/11/22,Online,Cash,Pending,
ORD-9568-76;Guest;Computer Mouse;Mobile;2;1753.25;3506.5;May 01, 2022;CHI;Bank Transfer;Shipped;SP-369;,,,,,,,,,,,
ORD-9368-56,J Smith,Wireless Headphones,Gadgets,3,1793.82,5381.46,22/11/23,Online,CASH,Completed,,bulk order
ORD-3458-32,J Smith,Computer Monitor,ELECTRONICS,2,1454.56,2909.12,5-Oct,2022,Chicago, IL,Debit Card,CANCEL
ORD-2129-69,Mike Brown,Wireless Mouse,Mobile,5,769.39,3846.95,10/26/2022,Online,cash,Refunded,SP-705,URGENT
ORD-9954-41,JOHN SMITH,Laptop,ELECTRONICS,5,1687.17,8435.85,2023-02-30,,Bank Transfer,Shipped,,bulk order
ORD-3332-45,Smith, John,laptop,Computers,5,1796.38,8981.9,15/04/23,NYC,CASH,Cancelled,SP-503
ORD-3141-40,Mike Brown,Cell Phone,Accessories,4,1483.94,5935.76,11/22/2022,New York City,PayPal,Cancelled,SP-698,bulk order
ORD-7660-25,Robert Wilson,Tablet Computer,Computers,4,283.83,1135.32,11-Jun,2022,N/A,cash,Completed,SP-977
ORD-7492-75,J Smith,Wireless Keyboard,Mobile,2,838.56,1677.12,4/9/2023,L.A.,Debit Card,pending,,
ORD-4641-26,S Johnson,Headphones,Accessories,1,554.7,554.7,3/18/2022,LA,CC,Cancelled,,
ORD-3752-83,Emily Davis,Computer Mouse,ELECTRONICS,4,386.97,1547.88,8/8/2022,Houston, TX,Cash,Completed,SP-731
ORD-8848-17,Smith, John,Cell Phone,ELECTRONICS,2,1604.54,3209.08,13/09/22,Miami, FL,Credit Card,COMPLETE
ORD-9231-51,M Brown,Cell Phone,Gadgets,5,1796.74,8983.7,10/15/2022,Miami,CASH,Delivered,SP-338,URGENT
ORD-1916-38,Bob Wilson,Headphones,Accessories,2,1205.41,2410.82,16-12-2023,New York,Google Pay,,SP-676,bulk order
ORD-3876-72,J Smith,LAPTOP,Electronics,2,4.79,9.58,12/6/2022,Manhattan,Google Pay,Cancelled,SP-964,URGENT
ORD-3320-24,Emily D.,Tablet Computer,Tech,4,706.29,2825.16,11/27/2022,Online,Bank Transfer,pending,SP-278,corporate client
ORD-4657-95,Bob Wilson,Smartphone,ELECTRONICS,3,1471.22,4413.66,12/20/2023,Seattle,Credit Card,Cancelled,SP-928,corporate client
ORD-9129-28,Michael Brown,Computer Mouse,Tech,3,1776.37,5329.11,1-Apr,2022,Seattle, WA,Google Pay,pending
ORD-2770-10,J Smith,Headphones,electronics,2,1011.51,2023.02,23-01-2023,NYC,CC,,SP-803,
ORD-6221-43,John S.,LAPTOP,Accessories,4,196.25,785,6/4/2022,SEA,CC,Completed,SP-769,URGENT
ORD-6424-36,S Johnson,Headphone,Mobile,3,146.79,440.37,8/9/2023,Manhattan,Credit Card,Delivered,,corporate client
ORD-2589-13,S Johnson,Smartphone,Mobile,4,651.29,2605.16,2/12/2023,,Apple Pay,Pending,SP-496,discount applied
ORD-1731-43,E Davis,Earphones,Mobile,3,344.7,1034.1,15/12/23,,Google Pay,CANCEL,SP-874,bulk order
ORD-7858-78,Unknown,Wireless Headphones,Computers,1,1715.18,1715.18,2/5/2022,MIA,cash,,,URGENT
ORD-4157-26,J Smith,Headphone,Tech,4,1654,6616,1-Jun,2022,CHI,Debit Card,Pending,SP-506
ORD-1202-99,Wilson, Robert,Display,ELECTRONICS,2,1196.47,2392.94,4/13/2022,NYC,Apple Pay,CANCEL,SP-998
ORD-8750-14,Sarah Johnson,Cell Phone,ELECTRONICS,5,833.35,4166.75,10/2/2023,NY,CC,Shipped,SP-120,discount applied
ORD-9054-99,Unknown,Lpt,Computers,4,675.69,2702.76,3/3/2023,LA,CC,Refunded,SP-516,discount applied
ORD-9442-30,Smith, John,Tablet,ELECTRONICS,5,106.45,532.25,17-Jul,2022,NY,PayPal,Completed
ORD-3029-97,John Smith,Mobile Phone,Accessories,4,1747.44,6989.76,8/24/2023,Los Angeles,Apple Pay,Pending,SP-495,URGENT
