Order ID,Customer Name,Product,Category,Quantity,Unit Price,Total Amount,Order Date,City,Payment Method,Status
ORD-5557-10,Online Customer,Smartphone,ELECTRONICS,2.0,1538.81,3077.62,2022-04-15,Chicago,IL,Google Pay
ORD-2169-87,R Wilson,Smartphone,Computers,4.0,1854.51,7418.04,2023-12-06,Chi,Credit Card,Refunded
ORD-6155-37,R Wilson,Wireless Headphones,ELECTRONICS,4.0,322.28,1289.12,2023-07-29,Seattle,Bank Transfer,Unknown
ORD-1771-24,JOHN SMITH,Mechanical Keyboard,Gadgets,4.0,800.3,3201.2,2023-09-03,Miami,FL,Credit Card
ORD-8123-30,E Davis,Laptop,Mobile,2.0,257.5,515.0,2023-03-10,Mia,cash,Refunded
ORD-6310-72,John Smith,Lpt,Accessories,3.0,519.7,1559.1,2023-08-04,Miami,Debit Card,CANCEL
ORD-6804-64,Emily Davis,Earphones,Electronics,1.0,1470.02,1470.02,2022-04-22,Miami,FL,CC
ORD-2188-11,E Davis,Keyboard,Tech,2.0,308.29,616.58,2022-12-24,Chicago,IL,Apple Pay
ORD-5905-94,John S.,Laptop Computer,Mobile,1.0,353.12,353.12,2022-10-16,Chi,PayPal,Shipped
ORD-5533-15,John Smith,iPad,Gadgets,3.0,911.58,2734.74,2023-12-24,Nyc,Debit Card,Cancelled
ORD-2193-68,Emily Davis,Mechanical Keyboard,Computers,4.0,525.77,2103.08,2023-05-11,Nyc,Bank Transfer,Refunded
ORD-2988-68,JOHN SMITH,Earphones,Accessories,4.0,1452.58,5810.32,2023-06-01,Miami,FL,CC
ORD-4388-63,M Brown,Wireless Mouse,Electronics,5.0,61.5,307.5,2023-05-11,Hou,CASH,CANCEL
ORD-7624-31,E Davis,Laptop Computer,Electronics,5.0,102.85,514.25,2023-10-21,Houston,TX,Cash
ORD-9031-23,Emily Davis,Tablet Computer,electronics,4.0,1067.41,4269.64,2023-05-11,Miami,FL,CC
ORD-2419-45,E Davis,Mobile Phone,electronics,4.0,1013.9,4055.6,2022-11-29,Chicago,IL,Apple Pay
ORD-6632-64,Walk-in,Computer Monitor,Accessories,4.0,540.24,2160.96,2022-04-05,Nyc,CASH,Cancelled
ORD-4020-16,Sarah J.,Wireless Headphones,Tech,4.0,1175.19,4700.76,2023-12-04,Seattle,Apple Pay,Pending
ORD-4697-76,M Brown,Earphones,electronics,5.0,645.49,3227.45,2023-09-28,Online,Debit Card,Refunded
ORD-2169-17,Sarah Johnson,Tablet,Mobile,4.0,1414.48,5657.92,2022-10-06,Houston,TX,Debit Card
ORD-1339-96,Sarah J.,Display,Electronics,2.0,1320.44,2640.88,2022-10-12,Hou,CC,Pending
ORD-2924-92,JOHN SMITH,Wireless Headphones,Mobile,3.0,990.87,2972.61,2023-04-29,Manhattan,Bank Transfer,Refunded
ORD-7798-53,Guest,Monitor,Mobile,3.0,1683.08,5049.24,2023-05-11,Manhattan,CC,CANCEL
ORD-6188-90,Customer,Wireless Mouse,electronics,1.0,507.8,507.8,2023-02-12,Online,Debit Card,COMPLETE
ORD-9138-46,Online Customer,Mobile Phone,Accessories,2.0,1371.64,2743.28,2023-07-11,Seattle,WA,Debit Card
ORD-4696-96,Walk-in,Wireless Keyboard,ELECTRONICS,5.0,1591.83,7959.15,2023-05-11,Houston,TX,Google Pay
