Customer_ID,Customer_Name,Email,Ordered_At,Product,Category,Quantity,Unit_Price,Total,Payment
C001,Omar Faruk,omarfaruk@gmail.com,12/5/2025,Coffee Maker,,,505,1515,Cash
C002,Annette Anderson,christianangela@johnston.com,1/18/2026,Coffee Maker,Home,1,1098,1098,Cash
C003,Angel Scott,kjennings@gmail.com,1/23/2026,Laptop,Electronics,1,736,736,PayPal
C004,Julie Freeman,vlittle@yahoo.com,3/5/2025,Tablet,Electronics,4,1178,4712,Cash
C005,MEGAN MARTIN,james95@riley.net,8/19/2025,Headphones,Electronics,4,710,2840,Cash
C006,scott jordan,marywillis@benjamin.com,4/10/2025,Book,Education,5,566,2830,PayPal
C007,Troy Jackson,ksmith@yahoo.com,4/7/2025,Smartphone,Electronics,5,NaN,325,Card
C008,Alec Mayer,denniswarren@yahoo.com,6/21/2025,Smartphone,Electronics,4,550,2200,Cash
C009,NaN,reevesanthony@yahoo.com,8/24/2025,T-Shirt,Fashion,1,62,62,Card
C010,Richard Brown,thomas68@gmail.com,11/19/2025,Coffee Maker,Home,3,132,396,Card
C011,William Austin,heidi66@gmail.com,5/29/2025,Blender,Home,1,147,147,PayPal
C012,Tracy Clayton,oneillchristina@davis.net,6/29/2025,Jacket,Fashion,2,500,1000,Cash
C013,Donna Morton,nortonerica@edwards.com,10/20/2025,Laptop,Electronics,2,1083,2166,Cash
C014,Sabrina Peterson,dquinn@gmail.com,6/3/2025,Smartphone,Electronics,2,955,1910,PayPal
C015,Tiffany Medina,millerchristopher@gmail.com,4/16/2025,Tablet,Electronics,4,659,2636,Cash
C016,Wendy Mitchell,christopherwalters@hotmail.com,6/20/2025,Coffee Maker,Home,5,638,3190,PayPal
C017,Megan Owens,olsonmary@gmail.com,3/25/2025,Headphones,Electronics,2,550,1100,PayPal
C018,William Miller,bhaas@cunningham.com,5/15/2025,Coffee Maker,Home,4,649,2596,PayPal
C019,Patricia Murphy,murphydavid@hotmail.com,1/20/2026,Tablet,Electronics,3,300,900,Card
C020,Mindy Owen,williamdiaz@yahoo.com,2/11/2026,Book,Education,3,1046,3138,Card
C021,Luis David,amanda18@hotmail.com,7/20/2025,Coffee Maker,Home,3,378,1134,Cash
C022,Timothy Lopez,michaelmcclain@hotmail.com,4/17/2025,Blender,Home,1,31,31,Cash
