Customer,Email,Amount,Date
karim,,700,
,rahim@gmail.com,500,"March 1, 2025"
SALMA,rahim@gmail.com,One Thousand,2025/03/01
SALMA,karim@gmail.com,800,
 nabila,rahim@gmail.com,,2025/03/01
SALMA,rahim@gmail.com,450,2025/03/01
RAFI,salma@gmail.com,,
RAFI,rahim@gmail.com,,
RAFI,salma@gmail.com,1200,2025/03/01
Jamal ,rahim@gmail.com,450,"March 1, 2025"
Jamal ,,450,
karim,,500,2025/03/01
karim,salma@gmail.com,800,
RAFI,rahim@gmail.com,450,"March 1, 2025"
karim,,800,01-03-2025
 Rahim ,,800,01-03-2025
RAFI,karim@gmail.com,1200,"March 1, 2025"
Jamal ,,1200,
karim,rahim@gmail.com,450,2025/03/01
,,One Thousand,01-03-2025
Jamal ,rahim@gmail.com,800,
,karim@gmail.com,450,2025/03/01
karim,karim@gmail.com,450,"March 1, 2025"
karim,,500,01-03-2025
 nabila,karim@gmail.com,1200,2025/03/01
 Rahim ,karim@gmail.com,700,2025/03/01
SALMA,,,2025/03/01
 nabila,karim@gmail.com,500,01-03-2025
SALMA,,500,"March 1, 2025"
karim,,500,2025/03/01
 nabila,karim@gmail.com,800,2025/03/01
,salma@gmail.com,800,01-03-2025
,salma@gmail.com,500,01-03-2025
RAFI,,700,"March 1, 2025"
RAFI,,500,01-03-2025
RAFI,karim@gmail.com,One Thousand,01-03-2025
 Rahim ,karim@gmail.com,,2025/03/01
,,One Thousand,
RAFI,salma@gmail.com,700,"March 1, 2025"
karim,,1200,2025/03/01
karim,,,
karim,,One Thousand,
Jamal ,rahim@gmail.com,One Thousand,"March 1, 2025"
 Rahim ,,700,
karim,,One Thousand,2025/03/01
 Rahim ,,,
RAFI,,1200,"March 1, 2025"
RAFI,,700,2025/03/01
,salma@gmail.com,,
karim,,,
RAFI,rahim@gmail.com,500,
 Rahim ,rahim@gmail.com,700,01-03-2025
SALMA,karim@gmail.com,450,
karim,karim@gmail.com,1200,01-03-2025
 nabila,karim@gmail.com,One Thousand,01-03-2025
,,800,01-03-2025
Jamal ,karim@gmail.com,500,"March 1, 2025"
 nabila,,800,01-03-2025
karim,rahim@gmail.com,1200,
Jamal ,rahim@gmail.com,450,"March 1, 2025"
RAFI,,,
 nabila,karim@gmail.com,500,"March 1, 2025"
 nabila,,800,
RAFI,karim@gmail.com,,2025/03/01
RAFI,,,2025/03/01
,karim@gmail.com,450,01-03-2025
SALMA,rahim@gmail.com,500,
 nabila,,One Thousand,
,,One Thousand,01-03-2025
Jamal ,,1200,
RAFI,karim@gmail.com,700,
 nabila,,450,2025/03/01
karim,salma@gmail.com,1200,01-03-2025
 Rahim ,karim@gmail.com,500,01-03-2025
,,One Thousand,01-03-2025
SALMA,,450,
 nabila,,1200,"March 1, 2025"
karim,,1200,
Jamal ,,500,
 nabila,karim@gmail.com,500,"March 1, 2025"
 nabila,rahim@gmail.com,800,2025/03/01
 Rahim ,,800,2025/03/01
 Rahim ,rahim@gmail.com,1200,"March 1, 2025"
Jamal ,salma@gmail.com,500,01-03-2025
karim,rahim@gmail.com,,
RAFI,karim@gmail.com,1200,01-03-2025
,rahim@gmail.com,800,2025/03/01
 nabila,karim@gmail.com,1200,"March 1, 2025"
 Rahim ,,700,01-03-2025
,,500,01-03-2025
 Rahim ,karim@gmail.com,500,01-03-2025
SALMA,rahim@gmail.com,800,01-03-2025
,,,01-03-2025
karim,rahim@gmail.com,1200,
 nabila,,450,
RAFI,karim@gmail.com,One Thousand,"March 1, 2025"
SALMA,rahim@gmail.com,700,"March 1, 2025"
,rahim@gmail.com,,01-03-2025
 nabila,,One Thousand,"March 1, 2025"
 Rahim ,,,"March 1, 2025"
 nabila,,1200,"March 1, 2025"
,rahim@gmail.com,500,"March 1, 2025"
Jamal ,,800,01-03-2025
Jamal ,,500,2025/03/01
 Rahim ,,500,01-03-2025
RAFI,rahim@gmail.com,500,
RAFI,,800,01-03-2025
 Rahim ,rahim@gmail.com,,"March 1, 2025"
RAFI,salma@gmail.com,,
 nabila,salma@gmail.com,500,2025/03/01
karim,,One Thousand,"March 1, 2025"
,,,"March 1, 2025"
SALMA,rahim@gmail.com,500,
RAFI,rahim@gmail.com,500,
Jamal ,,One Thousand,01-03-2025
RAFI,salma@gmail.com,800,"March 1, 2025"
karim,salma@gmail.com,,01-03-2025
Jamal ,karim@gmail.com,1200,01-03-2025
karim,,500,01-03-2025
 nabila,,450,01-03-2025
 nabila,salma@gmail.com,450,2025/03/01
SALMA,salma@gmail.com,800,01-03-2025
Jamal ,,1200,"March 1, 2025"
karim,salma@gmail.com,500,2025/03/01
 Rahim ,,,2025/03/01
RAFI,karim@gmail.com,One Thousand,01-03-2025
RAFI,,,01-03-2025
,salma@gmail.com,450,
 nabila,salma@gmail.com,500,"March 1, 2025"
 Rahim ,,500,2025/03/01
 nabila,,,"March 1, 2025"
 nabila,,500,2025/03/01
RAFI,,500,
Jamal ,rahim@gmail.com,800,
 nabila,,,"March 1, 2025"
karim,salma@gmail.com,450,
SALMA,rahim@gmail.com,One Thousand,"March 1, 2025"
 Rahim ,,One Thousand,
 Rahim ,rahim@gmail.com,One Thousand,2025/03/01
,karim@gmail.com,One Thousand,"March 1, 2025"
 Rahim ,,800,01-03-2025
Jamal ,karim@gmail.com,1200,
SALMA,,700,
karim,,,
 Rahim ,karim@gmail.com,1200,
SALMA,salma@gmail.com,1200,01-03-2025
 Rahim ,,1200,
,salma@gmail.com,700,01-03-2025
SALMA,salma@gmail.com,,"March 1, 2025"
karim,,450,
 nabila,,450,2025/03/01
RAFI,salma@gmail.com,800,01-03-2025
karim,salma@gmail.com,450,2025/03/01
karim,karim@gmail.com,450,
,salma@gmail.com,800,
 nabila,,One Thousand,"March 1, 2025"
,salma@gmail.com,One Thousand,
karim,rahim@gmail.com,,2025/03/01
RAFI,,450,01-03-2025
Jamal ,,450,01-03-2025
SALMA,salma@gmail.com,450,"March 1, 2025"
SALMA,rahim@gmail.com,One Thousand,2025/03/01
Jamal ,rahim@gmail.com,,2025/03/01
RAFI,,One Thousand,"March 1, 2025"
SALMA,,800,2025/03/01
SALMA,karim@gmail.com,450,"March 1, 2025"
 nabila,rahim@gmail.com,700,01-03-2025
 Rahim ,,450,"March 1, 2025"
 nabila,karim@gmail.com,800,01-03-2025
SALMA,,500,2025/03/01
 nabila,rahim@gmail.com,800,01-03-2025
Jamal ,rahim@gmail.com,450,"March 1, 2025"
karim,,One Thousand,
 Rahim ,,1200,2025/03/01
 nabila,,800,"March 1, 2025"
Jamal ,,800,2025/03/01
Jamal ,karim@gmail.com,1200,2025/03/01
 Rahim ,salma@gmail.com,450,01-03-2025
 Rahim ,,1200,"March 1, 2025"
Jamal ,karim@gmail.com,1200,
karim,karim@gmail.com,700,2025/03/01
,karim@gmail.com,,2025/03/01
 Rahim ,,1200,2025/03/01
 nabila,salma@gmail.com,800,01-03-2025
 Rahim ,karim@gmail.com,One Thousand,
SALMA,,1200,01-03-2025
 nabila,salma@gmail.com,1200,"March 1, 2025"
,karim@gmail.com,800,01-03-2025
karim,karim@gmail.com,800,"March 1, 2025"
 nabila,karim@gmail.com,One Thousand,01-03-2025
RAFI,rahim@gmail.com,450,
,rahim@gmail.com,700,01-03-2025
SALMA,rahim@gmail.com,450,01-03-2025
RAFI,karim@gmail.com,1200,01-03-2025
,,500,2025/03/01
RAFI,rahim@gmail.com,450,2025/03/01
SALMA,,One Thousand,"March 1, 2025"
 Rahim ,salma@gmail.com,500,"March 1, 2025"
karim,salma@gmail.com,,
Jamal ,karim@gmail.com,450,"March 1, 2025"
karim,karim@gmail.com,,"March 1, 2025"
,,450,
 Rahim ,rahim@gmail.com,1200,
Jamal ,,450,"March 1, 2025"
 Rahim ,,450,01-03-2025
Jamal ,karim@gmail.com,700,"March 1, 2025"
 nabila,rahim@gmail.com,700,
,,500,"March 1, 2025"
,,1200,2025/03/01
 nabila,karim@gmail.com,700,
RAFI,salma@gmail.com,,"March 1, 2025"
RAFI,,1200,2025/03/01
,,One Thousand,
Jamal ,rahim@gmail.com,700,
RAFI,salma@gmail.com,,01-03-2025
RAFI,salma@gmail.com,One Thousand,2025/03/01
 nabila,karim@gmail.com,500,01-03-2025
Jamal ,,One Thousand,
 nabila,salma@gmail.com,700,2025/03/01
,salma@gmail.com,One Thousand,2025/03/01
SALMA,salma@gmail.com,450,"March 1, 2025"
 nabila,,450,"March 1, 2025"
karim,,One Thousand,"March 1, 2025"
SALMA,rahim@gmail.com,450,"March 1, 2025"
RAFI,salma@gmail.com,500,"March 1, 2025"
Jamal ,,,"March 1, 2025"
,rahim@gmail.com,700,01-03-2025
karim,,,01-03-2025
Jamal ,rahim@gmail.com,450,"March 1, 2025"
SALMA,rahim@gmail.com,1200,2025/03/01
karim,,,01-03-2025
 Rahim ,,500,01-03-2025
Jamal ,rahim@gmail.com,500,"March 1, 2025"
karim,,One Thousand,"March 1, 2025"
RAFI,karim@gmail.com,500,2025/03/01
 Rahim ,,500,
karim,rahim@gmail.com,700,2025/03/01
Jamal ,karim@gmail.com,,
RAFI,salma@gmail.com,450,
karim,,500,"March 1, 2025"
RAFI,rahim@gmail.com,One Thousand,2025/03/01
Jamal ,rahim@gmail.com,1200,
SALMA,salma@gmail.com,1200,"March 1, 2025"
 nabila,salma@gmail.com,,2025/03/01
RAFI,,700,2025/03/01
Jamal ,karim@gmail.com,450,
,,,01-03-2025
SALMA,salma@gmail.com,700,
karim,,450,"March 1, 2025"
SALMA,,1200,2025/03/01
SALMA,rahim@gmail.com,700,
 Rahim ,rahim@gmail.com,700,2025/03/01
Jamal ,salma@gmail.com,800,"March 1, 2025"
,rahim@gmail.com,One Thousand,"March 1, 2025"
